ID	STRUCTURE	FREQUENCY	bahengeast	bahengwest	chuanqiandian	chuanqiandiancentralguizhou	chuanqiandiannortheastyunnan	chuanqiandiansouthernguizhou	luobuoheeastern	luobuohewestern	qiandongeast	qiandongwest	COGNATESETS	CONCEPTS
820-71	t	71	⁵⁵	⁵⁵	⁴⁴	⁴²	³³	⁵⁵	²⁴	³⁵	⁴⁴	³³	379:3, 451:3, 3505:3, 3584:3, 2169:3, 5723:2, 1733:3, 1679:2, 3126:2, 59:3, 3302:2, 2426:2, 5424:3, 4338:3, 2433:3, 5778:2, 1905:2, 4050:3, 5307:2, 921:2, 5868:3, 5891:3, 3211:2, 5798:3, 475:2, 897:2, 1274:2, 896:2, 1445:2, 3734:2, 5113:2, 5154:2, 6219:2, 2936:2, 2957:2, 5881:3, 1359:2, 4144:2, 2030:2, 5821:2, 5800:2, 5961:2, 1000:2, 4167:2, 1531:2, 4461:2, 1091:2, 4452:2, 5812:2, 3423:3, 5240:2, 5882:3, 5318:2, 838:4, 1358:4, 117:2, 3422:3, 3117:3, 5869:2, 5533:2, 3057:2, 1534:2, 2958:2, 2038:2, 2393:3, 4595:2, 2236:2, 5418:2, 5607:2, 885:2, 2108:3	上（楼） / 不 / 做 / 六月 / 冷 / 变 / 叶子 / 名字 / 吐（痰） / 响 / 唱 / 喂（猪） / 多 / 好 / 客人 / 容易 / 尖 / 开水 / 得到 / 戴（帽） / 戴（手镯） / 打鸣 / 拴（牛） / 挂 / 指 / 提 / 放（牛） / 方 / 木头 / 杀（人） / 杉树 / 松树 / 树 / 棺材 / 泡 / 洗（衣） / 漏 / 烟 / 烤（火） / 爬（树） / 猪 / 猪油 / 猪肉 / 甑子 / 百 / 睡觉 / 种（菜） / 穷 / 穿（鞋） / 织（布） / 结（果） / 美 / 老 / 老头儿 / 肿 / 脚 / 脱（皮） / 臭 / 花生 / 装 / 认识 / 贵 / 跛子 / 跳 / 过（桥） / 近 / 醒 / 野猪 / 钩子 / 锋利 / 锯 / 锯子 / 难 / 雪 / 霜 / 露水 / 风 / 飞 / 饱 / 骂 / （水）开 / （线）断
860-6	t	6	⁵⁵	³⁵	⁴³	⁴³	⁵⁵	²²	³³	⁵⁵	²⁴	³³	5386:2, 6192:2, 5136:3, 3296:2, 4591:3, 3856:3	猜 / 箱子 / 花生 / 西瓜 / 输 / （应）该
387-5	t	5	⁵⁵	⁵⁵	⁴⁴	⁴²	¹¹	⁵⁵	²⁴	³⁵	⁴⁴	³³	753:3, 450:3, 5157:2, 3155:2, 5565:2	六 / 六月 / 十六 / 斧子 / 煮 / 认识 / 野鸡
474-5	t	5	⁵⁵	⁵⁵	²⁴	⁴²	³¹	¹³	³³	³⁵	⁴⁴	³³	357:3, 1539:2, 2296:2, 5419:3, 5664:2	信 / 尺 / 尺子 / 明天 / 过（桥） / 锉子
528-5	t	5	⁵⁵	⁵⁵	⁴³	⁴²	³³	³⁵	²⁴	³⁵	⁴⁴	³³	2357:2, 1786:2, 5884:2, 3004:3, 4018:2	怕 / 月 / 浮 / 纺 / 饭
45-4	t	4	⁵⁵	⁵⁵	²⁴	¹³	⁵⁵	⁴²	²⁴	³⁵	⁴⁴	³³	735:2, 330:3, 2498:2, 5187:3	伞 / 十二月 / 架子 / 谜语
726-4	t	4	⁵⁵	⁵⁵	⁴⁴	⁴⁴	⁵⁵	³²	²⁴	³⁵	⁴⁴	⁴⁴	4942:2, 2006:2, 2651:2, 5646:2	拔 / 棉花 / 蛋黄 / 锄（革）
786-4	t	4	⁵⁵	⁵⁵	⁴⁴	⁴²	³³	³⁵	³¹	³⁵	⁴⁴	³³	4060:2, 5629:2, 5473:3, 5260:3	绳子 / 赠送 / 送（客） / 铁
829-4	t	4	⁵⁵	¹¹	¹³	²²	¹¹	¹³	²⁴	³⁵	²¹²	²²	3791:3, 3694:3, 4253:3, 4984:2	孤儿 / 秤 / 笋 / 聪明 / 蜻蜓
47-3	t	3	⁵⁵	⁵⁵	⁵⁵	⁴²	⁵⁵	⁴²	²⁴	³⁵	⁴⁴	³³	424:2, 1154:2, 154:2	七月 / 三月 / 乌鸦 / 九月 / 二月 / 八月 / 六月 / 十一月 / 十月 / 四月 / 回来 / 月亮 / 正月
150-3	t	3	⁵⁵	³³	⁴³	²⁴	³¹	²²	³¹	³¹	¹³	¹¹	5248:3, 4978:2, 4979:2	蜡烛 / 贼
166-3	t	3	⁵⁵	³¹	²⁴	²⁴	Ø	³²	³¹	⁵⁵	³³	¹¹	2200:2, 5640:2, 3439:2	敲 / 甜 / 甜酒 / 锄头
239-3	t	3	⁵⁵	³³	¹³	²²	³¹	¹³	⁵⁵	³⁵	⁴⁴	¹¹	3472:2, 3541:2, 1063:3	唱 / 痩 / 盖（锅）
470-3	t	3	⁵⁵	⁵⁵	⁵⁵	¹³	⁵⁵	⁴²	⁵⁵	⁵⁵	³³	¹³	1051:3, 3357:4, 2050:3	哭 / 指甲 / 现在
481-3	t	3	⁵⁵	³⁵	³¹	²⁴	⁵⁵	³²	³¹	³¹	⁴⁴	⁴⁴	2913:3, 1255:2, 3286:2	壳儿 / 沟 / 河 / 独子
502-3	t	3	⁵⁵	⁵⁵	³³	¹³	⁵⁵	⁵⁵	³¹	³¹	⁴⁴	⁵⁵	1599:3, 2226:2, 195:3	争 / 岁 / 年 / 斧子 / 明年
805-3	t	3	⁵⁵	⁵⁵	⁴⁴	⁴²	¹¹	³⁵	³³	³¹	³⁵	³³	3098:2, 737:2, 420:2	兔子 / 十一月 / 十二月 / 正月 / 灶
812-3	t	3	⁵⁵	⁵³	²¹	³¹	¹¹	¹¹	⁵⁵	⁵⁵	³³	²¹	105:2, 5787:2, 5016:4	下（楼） / 螳螂 / 集市
840-3	t	3	⁵⁵	³¹	⁴³	²⁴	³³	²²	Ø	Ø	²²	³³	5211:3, 121:2, 3491:3	不是 / 没有 / 白糖 / 红糖 / 豇豆
874-3	t	3	⁵⁵	³¹	⁴³	²⁴	⁵⁵	³²	³³	³³	²¹²	⁴⁴	1500:4, 6047:2, 1942:2	将来 / 扬尘 / 鸽子
891-3	t	3	⁵⁵	³¹	⁵⁵	¹³	³³	³²	²⁴	⁵⁵	⁴⁴	¹³	3183:4, 2277:2, 126:2	丑 / 早晨 / 燕子
930-3	t	3	⁵⁵	⁵⁵	³¹	²²	³⁵	⁵⁵	³³	³¹	⁴⁴	⁵⁵	4772:4, 2910:2, 934:3	听 / 没有 / 生（小孩） / 葱
979-3	t	3	⁵⁵	⁵⁵	³³	²²	¹¹	¹³	²⁴	⁵⁵	³³	⁵⁵	4634:4, 100:2, 367:2	下（小猪） / 借（钱） / 容易 / 茄子
1067-3	t	3	⁵⁵	⁵⁵	³³	²⁴	⁵⁵	²²	³¹	³¹	²⁴	⁴⁴	2948:3, 3565:3, 2385:3	木匠 / 泥鳅 / 真
22-2	t	2	⁵⁵	⁵⁵	⁴⁴	⁴²	¹¹	⁵⁵	⁵⁵	⁵⁵	²²	Ø	277:3, 5563:3	今年 / 去年 / 岁 / 年 / 年纪 / 野鸡
27-2	t	2	⁵⁵	³¹	⁵⁵	⁴²	Ø	⁵⁵	⁵⁵	⁵⁵	¹³	⁵⁵	1424:2, 4994:4	孙子 / 扛 / 抬 / 挑（水） / 蝴蝶
152-2	t	2	⁵⁵	³³	¹³	⁵⁵	Ø	⁵³	³¹	³¹	²⁴	⁵⁵	4246:3, 4170:2	祖母 / 老太太 / 聋子
266-2	t	2	⁵⁵	³¹	⁴⁴	⁴²	³³	³⁵	²⁴	³⁵	⁴⁴	⁴⁴	655:2, 1385:2	劈 / 姐姐
314-2	t	2	⁵⁵	⁵⁵	⁴³	²⁴	⁵⁵	³²	³³	³⁵	²⁴	⁵³	5250:3, 2462:3	松 / 独子 / 贼
353-2	t	2	⁵⁵	³³	⁴⁴	¹³	³³	⁵⁵	⁵⁵	⁵⁵	²⁴	⁴⁴	5860:2, 5355:2	车 / 韭菜
354-2	t	2	⁵⁵	⁵⁵	⁴³	⁰	⁵⁵	⁴⁴	³¹	⁵⁵	²⁴	⁴⁴	3086:3, 394:2	儿媳 / 儿子 / 灯 / 灯笼
386-2	t	2	⁵⁵	³⁵	³³	⁴²	⁵⁵	⁴⁴	³³	Ø	²⁴	¹³	1078:3, 4995:2	啄木鸟 / 蝴蝶
403-2	t	2	⁵⁵	³⁵	Ø	³¹	³⁵	¹¹	³¹	³¹	¹³	³³	5093:3, 5015:3	螳螂 / 袜子
509-2	t	2	⁵⁵	⁵⁵	⁴⁴	⁴²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁴⁴	³³	1512:3, 971:2	呕吐 / 小
563-2	t	2	⁵⁵	⁵⁵	⁴⁴	⁴²	Ø	²²	³¹	Ø	³⁵	⁵⁵	2307:3, 2417:2	明年 / 木耳
618-2	t	2	⁵⁵	⁵³	³¹	⁵⁵	³⁵	⁵³	Ø	⁵⁵	²⁴	⁵⁵	2742:3, 480:3	凳子 / 歌
619-2	t	2	⁵⁵	⁵⁵	⁴⁴	⁴²	³³	⁵³	²⁴	³⁵	²²	Ø	4993:3, 4327:3	肺 / 蝴蝶
684-2	t	2	⁵⁵	⁵⁵	¹³	⁴²	³³	⁵⁵	²⁴	³⁵	³⁵	³³	4319:3, 5467:2	肩膀 / 退
706-2	t	2	⁵⁵	⁵⁵	⁴⁴	⁴²	⁵⁵	³⁵	²⁴	⁵⁵	⁴⁴	³³	1127:3, 4930:2	嗅 / 蛋 / 蛋白
707-2	t	2	⁵⁵	⁵⁵	⁵⁵	¹³	³³	³²	Ø	³¹	Ø	²²	2623:2, 1107:2	喉咙 / 梯子
729-2	t	2	⁵⁵	⁵⁵	¹³	Ø	Ø	Ø	⁵⁵	⁰	Ø	²²	2640:3, 913:2	后面 / 棉絮
794-2	t	2	⁵⁵	³³	⁴³	Ø	Ø	⁴²	³³	⁵⁵	²⁴	⁴⁴	5583:3, 2235:3	方 / 钟
895-2	t	2	⁵⁵	¹¹	⁵⁵	¹³	⁵⁵	⁴²	⁵⁵	⁵⁵	³³	³³	4756:4, 5062:3	葡萄 / 衣领
1007-2	t	2	⁵⁵	⁵³	Ø	²²	⁵⁵	¹³	²⁴	³⁵	²⁴	²²	2384:3, 691:2	包谷 / 木匠
1037-2	t	2	⁵⁵	⁵⁵	³³	²²	³¹	⁵⁵	²⁴	³⁵	⁵³	²²	1861:3, 1527:2	少 / 扁担 / （线）断
1070-2	t	2	⁵⁵	Ø	Ø	¹³	⁵⁵	²¹	²⁴	Ø	Ø	¹³	465:3, 3957:2	冬瓜 / 紧
489-17	t	17	⁵³	⁵³	³³	⁴²	¹¹	¹³	³³	³¹	³⁵	¹¹	1119:2, 2090:2, 2116:2, 6222:2, 4854:2, 650:3, 3157:2, 5150:2, 1981:2, 3798:2, 5444:2, 2145:2, 2505:4, 3799:3, 3468:2, 6205:2, 2350:3	割（草） / 喝 / 开（门） / 抢 / 捡 / 插 / 摸 / 暗 / 柜子 / 熊 / 痒 / 笑 / 虹 / 解开 / 连接 / （火）灭 / （花）开
312-7	t	7	⁵³	⁴²	²⁴	⁵⁵	⁵³	²¹	²⁴	³⁵	¹³	⁵³	2773:3, 5209:2, 2764:2, 1714:3, 2765:3, 2582:2, 3268:3	影子 / 树梢 / 母牛 / 母鸡 / 狐狸 / 豇豆
52-4	t	4	⁵³	⁵³	²⁴	⁵⁵	¹¹	²¹	⁵⁵	Ø	³³	⁴⁴	4363:3, 1324:2, 5768:2, 4098:2	头巾 / 缩 / 背 / 闪
634-4	t	4	⁵³	³¹	⁵⁵	¹³	⁵⁵	⁴²	⁵⁵	³¹	³³	¹³	1498:3, 5829:3, 640:3, 4408:2	剪刀 / 射 / 打（枪） / 胸脯 / 青蛙
955-4	t	4	⁵³	⁴⁴	³¹	⁵⁵	³⁵	⁵³	²⁴	³⁵	³³	⁴⁴	2002:2, 4315:3, 5029:3, 5928:3	拍 / 肥肉 / 螺蛳 / 马蜂
1076-4	t	4	⁵³	⁵³	³³	⁴²	¹¹	⁴⁴	³³	³¹	³⁵	¹¹	6058:2, 1333:2, 1075:2, 5443:2	啄 / 夹 / 挖 / 连接 / 鸭子 / 鹅
202-3	t	3	⁵³	⁴²	³¹	¹³	⁵⁵	⁴²	³³	³¹	³³	¹³	440:2, 5475:3, 2725:3	公牛 / 公鸡 / 橘子 / 父亲 / 逃跑
