Grapheme	IPA	Template	Note
¹¹	¹¹	t	Zongdi Shimenpo Kailitang Heba Gundong Mao'ao Yanyuan
¹²	¹²	t	Longhua
¹³	¹³	t	Pingbian Gaopo Zongdi Shimenpo Xiaozhang Kailitang Caidiwan Yaogao Heba Qibainong Xishan Yaolu Bana Younuo
²¹	²¹	t	Zongdi Heba Qibainong Younuo Longding Shuanglong
²²	²²	t	Pingbian Gaopo Zongdi Caidiwan Yaogao Heba Qibainong Xishan Bana Xiashuicun Longding Youling
²³	²³	t	Kailitang Qibainong
²⁴	²⁴	t	Shibanqiao Gaopo Caidiwan Yaogao Longding Shuanglong Youling
³¹	³¹	t	Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Yaogao Gundong Mao'ao Qibainong Yaolu Bana Xiashuicun Longhua Longding Yanyuan Shuanglong
³²	³²	t	Zongdi Younuo
³³	³³	t	Shibanqiao Pingbian Shimenpo Du’an Xiaozhang Kailitang Caidiwan Heba Gundong Mao'ao Qibainong Xishan Yaolu Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong
³⁵	³⁵	t	Gaozhai Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Gundong Mao'ao Xishan Bana Xiashuicun Longhua Yanyuan Shuanglong
⁴²	⁴²	t	Gaopo Zongdi Gundong Qibainong Xishan Yaolu Yanyuan Shuanglong Youling
⁴⁴	⁴⁴	t	Pingbian Zongdi Du’an Kailitang Caidiwan Yaogao Heba Gundong Xishan Yaolu Bana Younuo Longhua Youling
⁵¹	⁵¹	t	Yanyuan
⁵³	⁵³	t	Pingbian Zongdi Shimenpo Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Yaolu Bana Xiashuicun Longhua Longding Shuanglong Youling
⁵⁴	⁵⁴	t	Younuo
⁵⁵	⁵⁵	t	Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Xiaozhang Heba Gundong Mao'ao Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan
¹²¹	¹²¹	t	Caidiwan
²¹³	²¹³	t	Pingbian
²³¹	²³¹	t	Longding
²³²	²³²	t	Zongdi
²⁴¹	²⁴¹	t	Du’an Yaogao
³¹³	³¹³	t	Mao'ao Bana
⁵⁵¹	⁵⁵¹	t	Du’an
* ɚ	ɚ	n	Gaopo
*ai	ai	n	Shibanqiao Qibainong
*an	an	n	Xiaozhang Gundong Qibainong
*au	au	n	Shibanqiao
*b	b	i	Mao'ao
*ɕ	ɕ	i	Zongdi
*d	d	i	Mao'ao
*dj	dʲ	i	Mao'ao
*dz	dz	i	Mao'ao
*dʑ	dʑ	i	Mao'ao
*e	e	n	Shimenpo
*ei	ei	n	Shimenpo Qibainong
*en	e n	n c	Mao'ao Qibainong
*eŋ	e ŋ	n c	Qibainong
*ə	ə	n	Xiaozhang Yaogao
*əu	əu	n	Qibainong
*ɛn	ɛ n	n c	Shibanqiao
*ɚ	ɚ	n	Shibanqiao Gaozhai Pingbian Shimenpo
*f	f	i	Heba
*iæn	iæ n	n c	Zongdi
*iaŋ	ia ŋ	n c	Shibanqiao Gaozhai Pingbian Zongdi Du’an
*iau	iau	n	Shibanqiao Gaozhai Pingbian Yaogao Gundong Qibainong
*iaɯ	iaɯ	ia ɯ	Shimenpo
*ie	ie	n	Gaozhai Qibainong
*iẽ	iē	n	Gaozhai Gaopo
*ien	ie n	n c	Du’an Caidiwan
*ieu	ieu	n	Pingbian Caidiwan
*iəu	iəu	n	Shibanqiao Gaozhai
*in	i n	n c	Mao'ao Qibainong
*iŋ	i ŋ	n c	Qibainong
*io	io	n	Gaopo
*iɔ	iɔ	n	Zongdi Kailitang
*iu	iu	n	Zongdi Shimenpo
*pʰ	pʰ	i	Zongdi
*pʰj	pʰʲ	i	Zongdi
*ɿ	ɿ	n	Gaopo Zongdi Caidiwan Yaogao Gundong Qibainong Yaolu
*ʅ	ʅ	n	Gaopo Zongdi
*tɕʰ	tɕʰ	i	Zongdi Yaogao
*tʰ	tʰ	i	Zongdi Gundong
*ts	ts	i	Zongdi Heba
*tsʰ	tsʰ	i	Zongdi Yaogao Heba Gundong
*ua	ua	n	Shibanqiao Gaozhai Shimenpo Xiaozhang Kailitang Caidiwan Yaolu
*uã	uā	n	Gaozhai
*uæ	uæ	n	Zongdi
*uæn	uæn	n c	Zongdi
*uai	uai	n	Pingbian Shimenpo Yaogao
*uan	uaŋ	n c	Du’an Xiaozhang Caidiwan Yaogao Yaolu
