NUMBER	GLOSS	English	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note
Chen-2013-888-1	天		1732	SKY	2	
Chen-2013-888-2	太阳		1343	SUN	2	
Chen-2013-888-3	月亮		1313	MOON	2	
Chen-2013-888-4	星星		1430	STAR	2	
Chen-2013-888-5	云		1489	CLOUD	2	
Chen-2013-888-6	虹		1733	RAINBOW	2	
Chen-2013-888-7	雷		1150	THUNDER	2	
Chen-2013-888-8	闪		1654	LIGHTNING		
Chen-2013-888-9	风		960	WIND	2	
Chen-2013-888-10	雨		658	RAIN (PRECIPITATION)	2	
Chen-2013-888-11	雪		784	SNOW	2	
Chen-2013-888-12	露水		1977	DEW	2	
Chen-2013-888-13	霜		2034	FROST	2	
Chen-2013-888-14	火		221	FIRE	2	
Chen-2013-888-15	灰		646	ASH	2	
Chen-2013-888-16	烟		778	SMOKE (EXHAUST)	2	
Chen-2013-888-17	扬尘					
Chen-2013-888-18	地		2159	GROUND	2	
Chen-2013-888-19	山		639	MOUNTAIN	2	
Chen-2013-888-20	洞		1667	HOLE	2	洞 is hole, 山洞 is cave, this gloss is written on the page along with  山 and 河, I assume it means cave, but since the gloss is only 洞, I translate it as hole 
Chen-2013-888-21	河		666	RIVER	2	
Chen-2013-888-22	池塘		2035	POND	2	
Chen-2013-888-23	沟		2002	DITCH	4	
Chen-2013-888-24	井		954	WELL	2	
Chen-2013-888-25	路		667	ROAD	2	
Chen-2013-888-26	水田		140	PADDY FIELD	2	
Chen-2013-888-27	旱地		212	FIELD	2	
Chen-2013-888-28	石头		857	STONE	2	
Chen-2013-888-29	沙子		671	SAND	2	
Chen-2013-888-30	泥巴		640	MUD		
Chen-2013-888-31	水		948	WATER	2	
Chen-2013-888-32	铁		621	IRON	2	
Chen-2013-888-33	煤		2658	COAL	2	
Chen-2013-888-34	村寨		930	VILLAGE	2	
Chen-2013-888-35	集市		633	MARKET	2	
Chen-2013-888-36	桥		1011	BRIDGE	2	
Chen-2013-888-37	坟墓		1773	GRAVE	2	
Chen-2013-888-38	菜园		586	GARDEN	2	
Chen-2013-888-39	篱笆		1690	FENCE		
Chen-2013-888-40	人		683	PERSON	2	
Chen-2013-888-41	汉族					add HAN
Chen-2013-888-42	族称					
Chen-2013-888-43	小孩		2099	CHILD		
Chen-2013-888-44	老头儿		406	OLD MAN		
Chen-2013-888-45	老太太		907	OLD WOMAN		
Chen-2013-888-46	姑娘		1646	GIRL		
Chen-2013-888-47	瞎子		457	BLIND PERSON	2	
